observed_at_utc,observed_at_london,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market,outcome,price_decimal,point
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,4cee8dd093405e4f76bca53cbac224d9,americanfootball_cfl,CFL,2026-09-26T19:00:00Z,Ottawa Redblacks,Calgary Stampeders,unibet_uk,Unibet (UK),2026-09-25T18:41:44Z,h2h,Ottawa Redblacks,2.14,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,4cee8dd093405e4f76bca53cbac224d9,americanfootball_cfl,CFL,2026-09-26T19:00:00Z,Ottawa Redblacks,Calgary Stampeders,betway,Betway,2026-09-25T18:41:46Z,h2h,Calgary Stampeders,1.67,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,4cee8dd093405e4f76bca53cbac224d9,americanfootball_cfl,CFL,2026-09-26T19:00:00Z,Ottawa Redblacks,Calgary Stampeders,betway,Betway,2026-09-25T18:41:46Z,h2h,Ottawa Redblacks,2.25,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,4cee8dd093405e4f76bca53cbac224d9,americanfootball_cfl,CFL,2026-09-26T19:00:00Z,Ottawa Redblacks,Calgary Stampeders,betfred_uk,Betfred (UK),2026-09-25T18:41:26Z,h2h,Calgary Stampeders,1.67,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,4cee8dd093405e4f76bca53cbac224d9,americanfootball_cfl,CFL,2026-09-26T19:00:00Z,Ottawa Redblacks,Calgary Stampeders,betfred_uk,Betfred (UK),2026-09-25T18:41:26Z,h2h,Ottawa Redblacks,2.25,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,4cee8dd093405e4f76bca53cbac224d9,americanfootball_cfl,CFL,2026-09-26T19:00:00Z,Ottawa Redblacks,Calgary Stampeders,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h,Calgary Stampeders,1.6,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,4cee8dd093405e4f76bca53cbac224d9,americanfootball_cfl,CFL,2026-09-26T19:00:00Z,Ottawa Redblacks,Calgary Stampeders,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h,Ottawa Redblacks,2.06,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,4cee8dd093405e4f76bca53cbac224d9,americanfootball_cfl,CFL,2026-09-26T19:00:00Z,Ottawa Redblacks,Calgary Stampeders,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h_lay,Calgary Stampeders,1.94,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,4cee8dd093405e4f76bca53cbac224d9,americanfootball_cfl,CFL,2026-09-26T19:00:00Z,Ottawa Redblacks,Calgary Stampeders,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h_lay,Ottawa Redblacks,2.68,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,leovegas,LeoVegas,2026-09-25T18:41:05Z,h2h,Edmonton Elks,1.22,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,leovegas,LeoVegas,2026-09-25T18:41:05Z,h2h,Hamilton Tiger-Cats,3.95,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,unibet_uk,Unibet (UK),2026-09-25T18:41:44Z,h2h,Edmonton Elks,1.24,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,unibet_uk,Unibet (UK),2026-09-25T18:41:44Z,h2h,Hamilton Tiger-Cats,4.2,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,betway,Betway,2026-09-25T18:41:46Z,h2h,Edmonton Elks,1.29,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,betway,Betway,2026-09-25T18:41:46Z,h2h,Hamilton Tiger-Cats,3.75,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,betfred_uk,Betfred (UK),2026-09-25T18:41:26Z,h2h,Edmonton Elks,1.29,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,betfred_uk,Betfred (UK),2026-09-25T18:41:26Z,h2h,Hamilton Tiger-Cats,3.6,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h,Edmonton Elks,1.21,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h,Hamilton Tiger-Cats,3.85,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h_lay,Edmonton Elks,1.35,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,f735cf3b6128779cdcf285b46fbdce92,americanfootball_cfl,CFL,2026-09-26T23:00:00Z,Edmonton Elks,Hamilton Tiger-Cats,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h_lay,Hamilton Tiger-Cats,5.8,
